Country,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
United Kingdom,17818.0,738,1,124.78,1,2,1,121,Regular Customers
United Kingdom,13654.0,43,11,5201.68,4,5,5,455,Premium Customers
United Kingdom,17189.0,106,5,814.62,3,4,3,343,Premium Customers
United Kingdom,13269.0,1,27,6628.32,5,5,5,555,New Customers
United Kingdom,14653.0,1,11,2587.1,5,5,5,555,Premium Customers
United Kingdom,17019.0,11,11,3166.11,5,5,5,555,Premium Customers
United Kingdom,15542.0,512,3,709.16,1,3,3,133,Regular Customers
United Kingdom,13564.0,354,35,13153.68,2,5,5,255,New Customers
United Kingdom,15833.0,738,1,80.4,1,1,1,111,Regular Customers
United Kingdom,14527.0,3,120,15557.98,5,5,5,555,New Customers
United Kingdom,17476.0,396,2,274.81,2,3,2,232,Regular Customers
United Kingdom,14440.0,8,12,3806.93,5,5,5,555,Premium Customers
United Kingdom,15287.0,22,5,627.03,4,4,3,443,Premium Customers
United Kingdom,15680.0,9,10,3520.59,5,5,5,555,Premium Customers
United Kingdom,15581.0,156,35,3806.2,3,5,5,355,New Customers
United Kingdom,13740.0,241,5,1212.18,2,4,4,244,Premium Customers
United Kingdom,17768.0,8,6,2193.99,5,4,5,545,Premium Customers
United Kingdom,12948.0,16,9,2009.36,5,5,5,555,Premium Customers
United Kingdom,14667.0,11,53,14399.01,5,5,5,555,New Customers
United Kingdom,17377.0,24,77,14877.38,4,5,5,455,New Customers
United Kingdom,14467.0,18,12,2107.39,5,5,5,555,Premium Customers
United Kingdom,13457.0,689,2,148.22,1,2,1,121,Regular Customers
United Kingdom,18108.0,254,3,661.71,2,3,3,233,Premium Customers
United Kingdom,16210.0,2,27,3848.99,5,5,5,555,New Customers
United Kingdom,14669.0,242,7,2849.58,2,4,5,245,Premium Customers
United Kingdom,17909.0,737,1,77.4,1,2,1,121,Regular Customers
United Kingdom,16086.0,59,10,2090.07,4,5,5,455,Premium Customers
United Kingdom,16711.0,3,6,549.44,5,4,3,543,Premium Customers
United Kingdom,16233.0,71,8,1059.86,3,5,4,354,Premium Customers
United Kingdom,14739.0,20,23,3276.9,4,5,5,455,New Customers
United Kingdom,14204.0,2,4,817.88,5,3,3,533,Premium Customers
United Kingdom,17606.0,737,1,87.30000000000001,1,2,1,121,Regular Customers
United Kingdom,16797.0,393,5,1464.62,2,4,4,244,Regular Customers
United Kingdom,16126.0,29,15,9358.23,4,5,5,455,New Customers
United Kingdom,17867.0,30,10,417.24,4,5,2,452,Premium Customers
United Kingdom,17412.0,3,16,3376.72,5,5,5,555,Premium Customers
United Kingdom,16525.0,2,48,7135.81,5,5,5,555,New Customers
United Kingdom,13623.0,31,10,1578.5,4,5,4,454,Premium Customers
United Kingdom,14549.0,311,4,787.69,2,3,3,233,Regular Customers
United Kingdom,14980.0,737,1,123.13,1,1,1,111,Regular Customers
United Kingdom,14396.0,65,7,1687.18,3,4,4,344,Premium Customers
United Kingdom,16987.0,3,10,1571.35,5,5,4,554,Premium Customers
United Kingdom,17809.0,16,11,2358.4500000000003,5,5,5,555,Premium Customers
United Kingdom,15917.0,248,5,408.82,2,4,2,242,Premium Customers
United Kingdom,14080.0,33,5,491.89,4,4,3,443,Premium Customers
United Kingdom,16200.0,4,12,4723.87,5,5,5,555,Premium Customers
United Kingdom,15794.0,737,1,394.35,1,1,2,112,Regular Customers
United Kingdom,15615.0,10,46,16943.13,5,5,5,555,New Customers
United Kingdom,18001.0,12,5,635.42,5,4,3,543,Premium Customers
United Kingdom,17841.0,2,208,52017.77,5,5,5,555,High Value Customers
United Kingdom,13089.0,4,163,66702.38,5,5,5,555,High Value Customers
United Kingdom,15989.0,376,2,277.22,2,2,2,222,Regular Customers
United Kingdom,17660.0,141,2,313.82,3,3,2,332,Premium Customers
United Kingdom,13313.0,22,12,3236.44,4,5,5,455,Premium Customers
France,12437.0,2,37,8494.2,5,5,5,555,New Customers
United Kingdom,14841.0,53,14,5773.47,4,5,5,455,New Customers
United Kingdom,15482.0,16,14,3112.78,5,5,5,555,Premium Customers
United Kingdom,16156.0,9,19,5016.91,5,5,5,555,New Customers
United Kingdom,17716.0,29,21,10494.16,4,5,5,455,New Customers
Poland,12779.0,38,14,4589.38,4,5,5,455,Premium Customers
United Kingdom,13611.0,89,10,2931.19,3,5,5,355,Premium Customers
United Kingdom,15255.0,67,8,2896.2000000000003,3,5,5,355,Premium Customers
United Kingdom,14771.0,621,2,594.62,1,2,3,123,Regular Customers
United Kingdom,14838.0,423,2,698.37,1,2,3,123,Regular Customers
United Kingdom,13979.0,73,7,3037.58,3,4,5,345,Premium Customers
United Kingdom,13800.0,310,3,1049.47,2,3,4,234,Regular Customers
United Kingdom,14483.0,282,2,257.1,2,2,2,222,Regular Customers
United Kingdom,14915.0,91,11,1644.25,3,5,4,354,Premium Customers
United Kingdom,13753.0,288,4,1851.57,2,3,4,234,Regular Customers
United Kingdom,16301.0,737,1,107.33,1,1,1,111,Regular Customers
United Kingdom,13931.0,96,11,4555.42,3,5,5,355,Premium Customers
United Kingdom,17035.0,246,4,442.24,2,4,3,243,Premium Customers
United Kingdom,15194.0,3,28,8195.61,5,5,5,555,New Customers
United Kingdom,14347.0,737,1,66.7,1,1,1,111,Regular Customers
United Kingdom,15291.0,26,32,7040.06,4,5,5,455,New Customers
United Kingdom,17209.0,649,2,252.95,1,3,2,132,Regular Customers
United Kingdom,15658.0,190,7,1472.0700000000002,2,4,4,244,Premium Customers
United Kingdom,17314.0,25,17,3743.72,4,5,5,455,Premium Customers
United Kingdom,17155.0,18,7,540.85,5,4,3,543,Premium Customers
United Kingdom,17322.0,376,5,854.78,2,4,4,244,Regular Customers
United Kingdom,16159.0,282,4,1165.74,2,4,4,244,Regular Customers
United Kingdom,14051.0,1,37,15571.01,5,5,5,555,New Customers
United Kingdom,13993.0,43,18,4821.06,4,5,5,455,New Customers
United Kingdom,17411.0,12,5,1263.7,5,4,4,544,Premium Customers
United Kingdom,15768.0,116,34,7527.2,3,5,5,355,New Customers
United Kingdom,12835.0,428,40,5108.03,1,5,5,155,New Customers
United Kingdom,15179.0,18,12,5014.34,5,5,5,555,Premium Customers
United Kingdom,17069.0,28,14,4635.13,4,5,5,455,Premium Customers
United Kingdom,16918.0,50,16,2789.34,4,5,5,455,Premium Customers
United Kingdom,15466.0,85,4,1452.96,3,4,4,344,Premium Customers
United Kingdom,14159.0,20,20,7200.68,4,5,5,455,New Customers
United Kingdom,17581.0,1,42,13751.92,5,5,5,555,New Customers
United Kingdom,16168.0,11,60,5274.72,5,5,5,555,New Customers
United Kingdom,14606.0,1,183,21778.18,5,5,5,555,High Value Customers
United Kingdom,17287.0,26,21,2706.45,4,5,5,455,Premium Customers
United Kingdom,17913.0,59,14,3057.19,4,5,5,455,Premium Customers
United Kingdom,13416.0,44,3,804.8000000000001,4,3,3,433,Premium Customers
United Kingdom,16779.0,2,52,21420.67,5,5,5,555,New Customers
United Kingdom,13895.0,28,6,3109.67,4,4,5,445,Premium Customers
United Kingdom,14057.0,24,20,5644.19,4,5,5,455,New Customers
United Kingdom,17017.0,3,28,7606.67,5,5,5,555,New Customers
United Kingdom,13208.0,59,9,1627.3,4,5,4,454,Premium Customers
United Kingdom,17465.0,426,7,2266.48,1,4,5,145,Regular Customers
United Kingdom,13468.0,2,71,9766.1,5,5,5,555,New Customers
United Kingdom,13485.0,233,11,2250.11,2,5,5,255,Premium Customers
United Kingdom,17271.0,736,1,165.95000000000002,1,2,1,121,Regular Customers
United Kingdom,16139.0,19,5,1061.14,5,4,4,544,Premium Customers
United Kingdom,15953.0,15,17,1690.62,5,5,4,554,Premium Customers
United Kingdom,15856.0,4,50,18990.35,5,5,5,555,New Customers
United Kingdom,14967.0,50,5,453.71,4,4,3,443,Premium Customers
United Kingdom,16497.0,50,23,5227.38,4,5,5,455,New Customers
United Kingdom,17764.0,51,5,1302.42,4,4,4,444,Premium Customers
United Kingdom,14905.0,158,8,1288.79,3,5,4,354,Premium Customers
United Kingdom,18229.0,12,26,5201.11,5,5,5,555,New Customers
United Kingdom,17293.0,8,16,2614.96,5,5,5,555,Premium Customers
United Kingdom,17853.0,407,3,1240.89,2,3,4,234,Regular Customers
United Kingdom,15550.0,4,12,1757.25,5,5,4,554,Premium Customers
United Kingdom,13531.0,205,6,1164.92,2,4,4,244,Premium Customers
United Kingdom,13786.0,367,6,1990.54,2,4,5,245,Regular Customers
United Kingdom,14952.0,60,27,8856.49,3,5,5,355,New Customers
United Kingdom,14031.0,7,40,19109.06,5,5,5,555,New Customers
United Kingdom,12937.0,15,9,2440.86,5,5,5,555,Premium Customers
United Kingdom,16612.0,33,9,2864.83,4,5,5,455,Premium Customers
United Kingdom,12949.0,31,22,13192.76,4,5,5,455,New Customers
United Kingdom,14958.0,147,6,486.39,3,4,3,343,Premium Customers
United Kingdom,17329.0,14,5,931.9,5,4,4,544,Premium Customers
United Kingdom,16736.0,506,4,2188.1800000000003,1,4,5,145,Regular Customers
United Kingdom,13001.0,4,33,15595.02,5,5,5,555,New Customers
United Kingdom,14644.0,68,5,815.77,3,4,3,343,Premium Customers
United Kingdom,14898.0,23,14,2359.71,4,5,5,455,Premium Customers
United Kingdom,14662.0,29,7,1103.21,4,4,4,444,Premium Customers
United Kingdom,17414.0,185,3,84.0,3,3,1,331,Premium Customers
United Kingdom,14755.0,10,25,8122.39,5,5,5,555,New Customers
United Kingdom,17576.0,8,40,6554.02,5,5,5,555,New Customers
United Kingdom,13037.0,138,12,3351.71,3,5,5,355,Premium Customers
United Kingdom,14710.0,14,13,1744.14,5,5,4,554,Premium Customers
United Kingdom,18168.0,176,16,2600.0,3,5,5,355,Premium Customers
United Kingdom,17679.0,53,7,2278.02,4,4,5,445,Premium Customers
United Kingdom,17851.0,422,6,1268.35,1,4,4,144,Regular Customers
United Kingdom,14750.0,736,1,85.18,1,1,1,111,Regular Customers
United Kingdom,16791.0,29,15,3368.84,4,5,5,455,Premium Customers
United Kingdom,16558.0,1,38,10479.31,5,5,5,555,New Customers
United Kingdom,15884.0,432,2,96.7,1,2,1,121,Regular Customers
United Kingdom,17343.0,355,6,1017.64,2,4,4,244,Regular Customers
United Kingdom,17372.0,41,27,3514.54,4,5,5,455,New Customers
United Kingdom,16003.0,30,10,3423.49,4,5,5,455,Premium Customers
United Kingdom,17432.0,18,9,1555.29,5,5,4,554,Premium Customers
United Kingdom,14713.0,9,21,4437.76,5,5,5,555,New Customers
United Kingdom,16722.0,17,22,6148.27,5,5,5,555,New Customers
France,12577.0,35,8,1455.41,4,4,4,444,Premium Customers
United Kingdom,12872.0,327,12,2848.26,2,5,5,255,Regular Customers
United Kingdom,15755.0,10,17,5298.5,5,5,5,555,New Customers
United Kingdom,14258.0,9,24,8985.7,5,5,5,555,New Customers
United Kingdom,14286.0,24,7,6966.69,4,4,5,445,Premium Customers
United Kingdom,13154.0,399,3,1271.29,2,3,4,234,Regular Customers
Channel Islands,14564.0,435,2,1746.12,1,2,4,124,Regular Customers
United Kingdom,13408.0,2,89,15582.852,5,5,5,555,New Customers
United Kingdom,16645.0,736,1,160.39,1,2,1,121,Regular Customers
France,12714.0,9,12,10865.45,5,5,5,555,New Customers
United Kingdom,16335.0,552,7,2065.32,1,4,5,145,Regular Customers
United Kingdom,13093.0,276,52,20908.19,2,5,5,255,New Customers
Netherlands,12759.0,52,8,4251.43,4,4,5,445,Premium Customers
United Kingdom,13666.0,60,5,98.15,3,4,1,341,Premium Customers
United Kingdom,17160.0,31,17,9766.66,4,5,5,455,New Customers
United Kingdom,13946.0,79,6,561.73,3,4,3,343,Premium Customers
United Kingdom,14723.0,10,11,1655.99,5,5,4,554,Premium Customers
United Kingdom,14961.0,11,20,12516.45,5,5,5,555,New Customers
United Kingdom,14735.0,4,51,7992.150000000001,5,5,5,555,New Customers
United Kingdom,18061.0,22,27,2376.94,4,5,5,455,New Customers
United Kingdom,15078.0,7,50,15935.63,5,5,5,555,New Customers
United Kingdom,16883.0,187,17,1343.76,3,5,4,354,Premium Customers
United Kingdom,13175.0,582,2,618.15,1,2,3,123,Regular Customers
United Kingdom,17076.0,36,6,754.8299999999999,4,4,3,443,Premium Customers
United Kingdom,13948.0,361,4,457.26,2,3,3,233,Regular Customers
United Kingdom,18223.0,5,26,11266.55,5,5,5,555,New Customers
United Kingdom,16192.0,736,1,190.8,1,1,1,111,Regular Customers
United Kingdom,15999.0,736,1,20.4,1,1,1,111,Regular Customers
United Kingdom,15109.0,246,3,700.5,2,3,3,233,Premium Customers
United Kingdom,14680.0,25,52,18440.54,4,5,5,455,New Customers
United Kingdom,16891.0,2,11,1440.04,5,5,4,554,Premium Customers
United Kingdom,18092.0,2,16,4783.3,5,5,5,555,Premium Customers
United Kingdom,13481.0,46,11,3493.64,4,5,5,455,Premium Customers
United Kingdom,13807.0,367,3,261.25,2,3,2,232,Regular Customers
United Kingdom,14979.0,735,1,375.21,1,1,2,112,Regular Customers
United Kingdom,16656.0,22,25,2510.13,4,5,5,455,New Customers
United Kingdom,16746.0,5,41,10859.4,5,5,5,555,New Customers
United Kingdom,17157.0,8,18,2754.6,5,5,5,555,Premium Customers
United Kingdom,15309.0,611,3,685.41,1,3,3,133,Regular Customers
United Kingdom,16325.0,47,12,2698.4500000000003,4,5,5,455,Premium Customers
United Kingdom,16541.0,735,1,352.33,1,1,2,112,Regular Customers
United Kingdom,16723.0,108,3,753.84,3,3,3,333,Premium Customers
United Kingdom,16699.0,380,6,607.49,2,4,3,243,Regular Customers
United Kingdom,16710.0,19,22,4905.22,5,5,5,555,New Customers
Spain,12510.0,143,7,2426.33,3,4,5,345,Premium Customers
United Kingdom,13162.0,122,15,6044.33,3,5,5,355,New Customers
United Kingdom,15382.0,15,12,12021.4,5,5,5,555,New Customers
United Kingdom,13680.0,1,12,6087.35,5,5,5,555,Premium Customers
United Kingdom,12970.0,7,10,1136.78,5,5,4,554,Premium Customers
United Kingdom,17935.0,138,6,411.24,3,4,2,342,Premium Customers
United Kingdom,17593.0,4,11,6635.6900000000005,5,5,5,555,Premium Customers
United Kingdom,17151.0,735,1,231.90000000000003,1,2,2,122,Regular Customers
United Kingdom,16451.0,88,3,1003.2,3,3,4,334,Premium Customers
United Kingdom,17127.0,429,5,900.0300000000001,1,4,4,144,Regular Customers
United Kingdom,13694.0,4,51,8768.59,5,5,5,555,New Customers
United Kingdom,14087.0,3,3,677.97,5,3,3,533,Premium Customers
United Kingdom,13733.0,411,2,422.91,1,2,2,122,Regular Customers
United Kingdom,18181.0,24,5,1022.19,4,4,4,444,Premium Customers
United Kingdom,13174.0,16,11,6304.56,5,5,5,555,Premium Customers
United Kingdom,13329.0,32,8,1669.08,4,4,4,444,Premium Customers
United Kingdom,17421.0,386,3,1019.35,2,3,4,234,Regular Customers
United Kingdom,16351.0,333,13,3060.53,2,5,5,255,Regular Customers
United Kingdom,15684.0,547,3,116.25,1,3,1,131,Regular Customers
United Kingdom,17884.0,4,19,2216.94,5,5,5,555,Premium Customers
United Kingdom,15514.0,12,17,3904.01,5,5,5,555,Premium Customers
United Kingdom,13679.0,494,3,273.31,1,3,2,132,Regular Customers
United Kingdom,18225.0,3,26,8987.14,5,5,5,555,New Customers
United Kingdom,12748.0,1,305,32544.6,5,5,5,555,High Value Customers
United Kingdom,13487.0,58,5,624.62,4,4,3,443,Premium Customers
United Kingdom,17018.0,41,6,2116.1,4,4,5,445,Premium Customers
United Kingdom,18071.0,258,6,1073.33,2,4,4,244,Premium Customers
United Kingdom,14238.0,326,3,190.2,2,3,1,231,Regular Customers
United Kingdom,15223.0,226,5,1030.25,2,4,4,244,Premium Customers
United Kingdom,13021.0,4,17,3768.6,5,5,5,555,Premium Customers
United Kingdom,17115.0,8,7,1926.43,5,4,4,544,Premium Customers
United Kingdom,17850.0,372,155,47654.82,2,5,5,255,High Value Customers
United Kingdom,14239.0,43,21,3700.37,4,5,5,455,New Customers
United Kingdom,13999.0,10,29,7628.67,5,5,5,555,New Customers
United Kingdom,13958.0,380,8,2866.41,2,4,5,245,Regular Customers
United Kingdom,13641.0,641,4,595.27,1,3,3,133,Regular Customers
United Kingdom,15420.0,434,6,660.06,1,4,3,143,Regular Customers
Cyprus,12359.0,58,10,4864.34,4,5,5,455,Premium Customers
United Kingdom,12820.0,3,11,2306.81,5,5,5,555,Premium Customers
United Kingdom,16410.0,734,1,25.200000000000003,1,1,1,111,Regular Customers
United Kingdom,15240.0,45,12,3347.74,4,5,5,455,Premium Customers
United Kingdom,16158.0,522,8,407.0,1,5,2,152,Regular Customers
United Kingdom,15484.0,1,6,3402.8,5,4,5,545,Premium Customers
United Kingdom,14709.0,15,25,7272.81,5,5,5,555,New Customers
United Kingdom,15057.0,275,5,2040.94,2,4,5,245,Premium Customers
United Kingdom,14867.0,186,14,1634.56,3,5,4,354,Premium Customers
United Kingdom,17642.0,120,5,1622.45,3,4,4,344,Premium Customers
Germany,13813.0,40,8,2027.39,4,4,5,445,Premium Customers
United Kingdom,13589.0,15,5,599.84,5,4,3,543,Premium Customers
Belgium,12417.0,3,20,3974.29,5,5,5,555,New Customers
United Kingdom,17920.0,4,54,12612.69,5,5,5,555,New Customers
United Kingdom,12975.0,437,6,1630.17,1,4,4,144,Regular Customers
United Kingdom,16104.0,62,9,2422.75,3,5,5,355,Premium Customers
United Kingdom,17150.0,377,6,1095.6,2,4,4,244,Regular Customers
United Kingdom,17244.0,53,5,1106.27,4,4,4,444,Premium Customers
United Kingdom,16277.0,734,1,62.940000000000005,1,1,1,111,Regular Customers
United Kingdom,15260.0,100,23,6867.79,3,5,5,355,New Customers
France,12583.0,3,27,9847.67,5,5,5,555,New Customers
United Kingdom,15555.0,12,35,9025.55,5,5,5,555,New Customers
United Kingdom,13736.0,5,7,2196.2200000000003,5,4,5,545,Premium Customers
United Kingdom,15571.0,12,14,2980.84,5,5,5,555,Premium Customers
United Kingdom,14133.0,130,4,599.49,3,3,3,333,Premium Customers
United Kingdom,13448.0,17,12,6856.67,5,5,5,555,New Customers
United Kingdom,17085.0,123,27,6730.87,3,5,5,355,New Customers
United Kingdom,15059.0,41,19,2861.18,4,5,5,455,Premium Customers
United Kingdom,14468.0,734,1,86.65,1,1,1,111,Regular Customers
United Kingdom,16395.0,61,14,3119.35,3,5,5,355,Premium Customers
United Kingdom,16485.0,77,5,1867.27,3,4,4,344,Premium Customers
United Kingdom,15878.0,562,2,310.46,1,2,2,122,Regular Customers
United Kingdom,15860.0,41,17,1872.74,4,5,4,454,Premium Customers
United Kingdom,13373.0,61,6,5873.1,3,4,5,345,Premium Customers
United Kingdom,14608.0,4,8,1758.85,5,5,4,554,Premium Customers
United Kingdom,14896.0,205,8,1709.8,2,5,4,254,Premium Customers
United Kingdom,16964.0,733,2,207.85,1,3,2,132,Regular Customers
United Kingdom,15983.0,22,8,2213.67,4,5,5,455,Premium Customers
United Kingdom,13782.0,13,13,1330.94,5,5,4,554,Premium Customers
United Kingdom,14454.0,376,5,778.8,2,4,3,243,Regular Customers
United Kingdom,14717.0,733,1,71.35,1,1,1,111,Regular Customers
United Kingdom,16718.0,369,5,2319.48,2,4,5,245,Regular Customers
United Kingdom,15751.0,461,10,1085.32,1,5,4,154,Regular Customers
United Kingdom,14546.0,5,11,4761.54,5,5,5,555,Premium Customers
United Kingdom,17848.0,148,21,989.42,3,5,4,354,Premium Customers
United Kingdom,17561.0,19,4,611.65,5,4,3,543,Premium Customers
United Kingdom,15547.0,7,25,7966.35,5,5,5,555,New Customers
United Kingdom,17406.0,333,9,2634.58,2,5,5,255,Regular Customers
United Kingdom,14479.0,254,4,967.61,2,3,4,234,Premium Customers
United Kingdom,17969.0,166,20,1461.18,3,5,4,354,Premium Customers
United Kingdom,14548.0,571,6,730.39,1,4,3,143,Regular Customers
United Kingdom,17916.0,629,2,22.99,1,3,1,131,Regular Customers
United Kingdom,13319.0,5,57,17365.86,5,5,5,555,New Customers
United Kingdom,16773.0,57,3,311.14,4,3,2,432,Premium Customers
United Kingdom,15479.0,733,1,147.4,1,1,1,111,Regular Customers
United Kingdom,15822.0,3,6,1326.31,5,4,4,544,Premium Customers
United Kingdom,13890.0,1,14,2802.6800000000003,5,5,5,555,Premium Customers
United Kingdom,13211.0,10,9,1283.06,5,5,4,554,Premium Customers
United Kingdom,15641.0,105,12,4503.9,3,5,5,355,Premium Customers
